site_slug,date,day_active,slot_count
chester,Tuesday 6 October 2026,True,1
chester,Wednesday 7 October 2026,False,0
chester,Thursday 8 October 2026,False,0
chester,Friday 9 October 2026,False,0
chester,Saturday 10 October 2026,False,0
chester,Sunday 11 October 2026,False,0
chesterfield,Monday 21 September 2026,False,0
chesterfield,Tuesday 22 September 2026,False,0
chesterfield,Wednesday 23 September 2026,True,0
chesterfield,Thursday 24 September 2026,True,0
chesterfield,Friday 25 September 2026,True,0
chesterfield,Saturday 26 September 2026,True,0
chesterfield,Sunday 27 September 2026,True,0
chesterfield,Monday 28 September 2026,True,0
chesterfield,Tuesday 29 September 2026,True,0
chesterfield,Wednesday 30 September 2026,True,0
chesterfield,Thursday 1 October 2026,True,0
chesterfield,Friday 2 October 2026,True,0
chesterfield,Saturday 3 October 2026,True,0
chesterfield,Sunday 4 October 2026,True,0
chesterfield,Monday 5 October 2026,True,0
chesterfield,Tuesday 6 October 2026,True,0
chesterfield,Wednesday 7 October 2026,False,0
chesterfield,Thursday 8 October 2026,False,0
chesterfield,Friday 9 October 2026,False,0
chesterfield,Saturday 10 October 2026,False,0
chesterfield,Sunday 11 October 2026,False,0
chichester,Monday 21 September 2026,False,0
chichester,Tuesday 22 September 2026,False,0
chichester,Wednesday 23 September 2026,True,0
chichester,Thursday 24 September 2026,True,0
chichester,Friday 25 September 2026,True,0
chichester,Saturday 26 September 2026,True,0
chichester,Sunday 27 September 2026,True,0
chichester,Monday 28 September 2026,True,6
chichester,Tuesday 29 September 2026,True,3
chichester,Wednesday 30 September 2026,True,8
chichester,Thursday 1 October 2026,True,8
chichester,Friday 2 October 2026,True,3
chichester,Saturday 3 October 2026,True,0
chichester,Sunday 4 October 2026,True,0
chichester,Monday 5 October 2026,True,3
chichester,Tuesday 6 October 2026,True,6
chichester,Wednesday 7 October 2026,False,0
chichester,Thursday 8 October 2026,False,0
chichester,Friday 9 October 2026,False,0
chichester,Saturday 10 October 2026,False,0
chichester,Sunday 11 October 2026,False,0
chigwell,Monday 21 September 2026,False,0
chigwell,Tuesday 22 September 2026,False,0
chigwell,Wednesday 23 September 2026,True,0
chigwell,Thursday 24 September 2026,True,0
chigwell,Friday 25 September 2026,True,0
chigwell,Saturday 26 September 2026,True,0
chigwell,Sunday 27 September 2026,True,0
chigwell,Monday 28 September 2026,True,0
chigwell,Tuesday 29 September 2026,True,0
chigwell,Wednesday 30 September 2026,True,0
chigwell,Thursday 1 October 2026,True,0
chigwell,Friday 2 October 2026,True,0
chigwell,Saturday 3 October 2026,True,0
chigwell,Sunday 4 October 2026,True,0
chigwell,Monday 5 October 2026,True,3
chigwell,Tuesday 6 October 2026,True,0
chigwell,Wednesday 7 October 2026,False,0
chigwell,Thursday 8 October 2026,False,0
chigwell,Friday 9 October 2026,False,0
chigwell,Saturday 10 October 2026,False,0
chigwell,Sunday 11 October 2026,False,0
chingford,Monday 21 September 2026,False,0
chingford,Tuesday 22 September 2026,False,0
chingford,Wednesday 23 September 2026,True,0
chingford,Thursday 24 September 2026,True,0
chingford,Friday 25 September 2026,True,0
chingford,Saturday 26 September 2026,True,0
chingford,Sunday 27 September 2026,True,0
chingford,Monday 28 September 2026,True,0
chingford,Tuesday 29 September 2026,True,3
chingford,Wednesday 30 September 2026,True,1
chingford,Thursday 1 October 2026,True,2
chingford,Friday 2 October 2026,True,0
chingford,Saturday 3 October 2026,True,0
chingford,Sunday 4 October 2026,True,0
chingford,Monday 5 October 2026,True,0
chingford,Tuesday 6 October 2026,True,4
chingford,Wednesday 7 October 2026,False,0
chingford,Thursday 8 October 2026,False,0
chingford,Friday 9 October 2026,False,0
chingford,Saturday 10 October 2026,False,0
chingford,Sunday 11 October 2026,False,0
chislehurst,Monday 21 September 2026,False,0
chislehurst,Tuesday 22 September 2026,False,0
chislehurst,Wednesday 23 September 2026,True,0
chislehurst,Thursday 24 September 2026,True,0
chislehurst,Friday 25 September 2026,True,0
chislehurst,Saturday 26 September 2026,True,0
chislehurst,Sunday 27 September 2026,True,0
chislehurst,Monday 28 September 2026,True,0
chislehurst,Tuesday 29 September 2026,True,0
chislehurst,Wednesday 30 September 2026,True,0
chislehurst,Thursday 1 October 2026,True,0
chislehurst,Friday 2 October 2026,True,0
chislehurst,Saturday 3 October 2026,True,0
chislehurst,Sunday 4 October 2026,True,0
chislehurst,Monday 5 October 2026,True,0
chislehurst,Tuesday 6 October 2026,True,0
chislehurst,Wednesday 7 October 2026,False,0
chislehurst,Thursday 8 October 2026,False,0
chislehurst,Friday 9 October 2026,False,0
chislehurst,Saturday 10 October 2026,False,0
chislehurst,Sunday 11 October 2026,False,0
cottingley,Monday 21 September 2026,False,0
cottingley,Tuesday 22 September 2026,False,0
cottingley,Wednesday 23 September 2026,True,1
cottingley,Thursday 24 September 2026,True,0
cottingley,Friday 25 September 2026,True,0
cottingley,Saturday 26 September 2026,True,0
cottingley,Sunday 27 September 2026,True,0
cottingley,Monday 28 September 2026,True,0
cottingley,Tuesday 29 September 2026,True,0
cottingley,Wednesday 30 September 2026,True,3
cottingley,Thursday 1 October 2026,True,0
cottingley,Friday 2 October 2026,True,0
cottingley,Saturday 3 October 2026,True,0
cottingley,Sunday 4 October 2026,True,0
cottingley,Monday 5 October 2026,True,0
cottingley,Tuesday 6 October 2026,True,0
cottingley,Wednesday 7 October 2026,False,0
cottingley,Thursday 8 October 2026,False,0
cottingley,Friday 9 October 2026,False,0
cottingley,Saturday 10 October 2026,False,0
cottingley,Sunday 11 October 2026,False,0
covent-garden,Monday 21 September 2026,False,0
covent-garden,Tuesday 22 September 2026,False,0
covent-garden,Wednesday 23 September 2026,True,2
covent-garden,Thursday 24 September 2026,True,2
covent-garden,Friday 25 September 2026,True,5
covent-garden,Saturday 26 September 2026,True,0
covent-garden,Sunday 27 September 2026,True,0
covent-garden,Monday 28 September 2026,True,0
covent-garden,Tuesday 29 September 2026,True,0
covent-garden,Wednesday 30 September 2026,True,0
covent-garden,Thursday 1 October 2026,True,3
covent-garden,Friday 2 October 2026,True,3
covent-garden,Saturday 3 October 2026,True,0
covent-garden,Sunday 4 October 2026,True,0
covent-garden,Monday 5 October 2026,True,4
covent-garden,Tuesday 6 October 2026,True,5
covent-garden,Wednesday 7 October 2026,False,0
covent-garden,Thursday 8 October 2026,False,0
covent-garden,Friday 9 October 2026,False,0
covent-garden,Saturday 10 October 2026,False,0
covent-garden,Sunday 11 October 2026,False,0
crawley,Monday 21 September 2026,False,0
crawley,Tuesday 22 September 2026,False,0
crawley,Wednesday 23 September 2026,True,0
crawley,Thursday 24 September 2026,True,6
crawley,Friday 25 September 2026,True,6
crawley,Saturday 26 September 2026,True,0
